0,1,2
8359,1,spark
8359,1,consulting
8359,1,software_quality
8359,1,continuous_improvement
8359,1,professional_services
8359,1,management
3677,0,Senior Associate - Data Engineer
3677,1,spark
3677,1,kafka
3677,1,aws
3677,1,tfs
3677,1,azure_dev_ops
3677,1,python
3677,1,sql
3677,1,gitlab
5960,0,Data Engineer - Visualization/Reporting Tools
5960,1,qlikview
5960,1,tableau
5960,1,gcp
5960,1,hadoop
5960,1,hive
5960,1,data_visualization
5960,1,engineering
5960,1,oozie
8539,0,Senior Analyst
8539,1,spss
8539,1,market_research
8539,1,data_processing
8539,1,ux_research
8539,1,competitive_intelligence
8539,1,research_analysis
8539,1,powerpoint
8539,1,insight_generation
3000,0,Data Engineering Application Developer
3000,1,redshift
3000,1,s3
3000,1,micro_-_batches
3000,1,aws_services
3000,1,data_ingestion_patterns
3000,1,communication
3000,1,analytical
3000,1,aws_redshift
8832,0,Associate Software Engineering Manager
8832,1,java
8832,1,it_skills
8832,1,j2ee
8832,1,software_development
8832,1,testing
8832,1,oracle
8832,1,jenkins
8832,1,maven
3034,0,Data Engineer(Core Java 8 + Any Cloud Platform)
3034,1,python
3034,1,java
3034,1,google
3034,1,hibernate
3034,1,web_services
3034,1,gcp_cloud
3034,1,spring
3034,1,cloud
1543,0,Senior Analyst-Data Science
1543,1,consulting
1543,1,data_mining
1543,1,analytics
1543,1,publishing
1543,1,excel
1543,1,architecture
1543,1,data_science
1543,1,machine_learning
8693,0,Ld. Prod Svcs App Sup Anlyst
8693,1,ld._prod_svcs_app_sup_anlyst
10618,0,Manager - Decision Sciences
10618,1,supply_chain
10618,1,content_strategy
10618,1,product_engineering
10618,1,tableau
10618,1,analytical
10618,1,power_bi
10618,1,e-commerce
10618,1,data_visualization
8676,0,Collections Analyst
8676,1,customer_service_representative
8676,1,analyst
8676,1,claims
8676,1,medical_billing
8676,1,client_servicing
8676,1,pharmacy
8676,1,billing
8676,1,data_collection
10001,0,Quality Analyst
10001,1,computer_science
10001,1,automation
10001,1,manual_testing
10001,1,manager_quality_assurance
10001,1,test_scripts
10001,1,qa_lead
10001,1,test_planning
10001,1,regression_testing
2589,0,Senior Data Governance Engineer
2589,1,computer_science
2589,1,metadata
2589,1,hp_data_protector
2589,1,data_modeling
2589,1,data_security
2589,1,analytical
2589,1,data_quality
2589,1,analytics
10996,0,"Innovation Engineer, People Analytics"
10996,1,people_analytics
10996,1,c#
10996,1,css
10996,1,azure_data_warehouse
10996,1,power_bi
10996,1,microsoft_sql_server
10996,1,html
10996,1,microsoft_visual_studio
8670,0,Product Analyst
8670,1,computer_science
8670,1,product_analyst
8670,1,sql_queries
8670,1,data_analysis
8670,1,usage
8670,1,analytical
8670,1,intellectual_property
8670,1,statistics
603,0,Data Scientist - Process Data Modelling
603,1,data_modelling
603,1,git
603,1,statistical_modeling
603,1,multivariate_analysis
603,1,r
603,1,advanced_analytics
603,1,time_series
603,1,machine_learning
9505,0,DevOps Engineer
9505,1,automation
9505,1,data_analysis
9505,1,linux
9505,1,coding
9505,1,shell_scripting
9505,1,workflow
9505,1,investment_banking
9505,1,troubleshooting
2638,0,Azure Data Engineer
2638,1,it_skills
2638,1,python
2638,1,machine_learning
2638,1,cloud
2638,1,devops
2638,1,big_data
2638,1,power_bi
2638,1,data_analysis
393,0,Data Scientist 1
393,1,prototype
393,1,credit_risk
393,1,scientist_1
393,1,management
393,1,risk_management
393,1,data_mining
393,1,financial_services
393,1,quantitative_analysis
10129,0,Market Research Analyst Information
10129,1,industry_research
10129,1,data_analysis
10129,1,sales
10129,1,business_research
10129,1,analytical
10129,1,consulting
10129,1,marketing_research_analyst
10129,1,market_research_analyst
2692,0,"Lead Analyst, Data Management and Quant Analysis"
2692,1,metrics_reporting
2692,1,dashboards
2692,1,scorecard
2692,1,data_analytics
2692,1,mis_reporting
2692,1,banking
2692,1,investment_management
2692,1,finance
5210,0,Technical Architect- Data Engineering
5210,1,databricks
5210,1,azure_data_factory
5210,1,data_migration
5210,1,azure_databricks
4843,0,Big Data Engineer - Data Structure/Algorithm
4843,1,it_skills
4843,1,java
4843,1,python
4843,1,big_data
4843,1,multithreading
4843,1,scala
4843,1,spark
4843,1,performance_tuning
8964,0,TMA_Lead analyst
8964,1,supply_chain
8964,1,automation
8964,1,project_management
8964,1,analytical
8964,1,financial_planning
8964,1,data_collection
8964,1,corporate_finance
8964,1,business_intelligence
7387,0,IT Analyst
7387,1,sap
7387,1,business_intelligence
7387,1,business_enhancement
7387,1,use_cases
7387,1,testing
7387,1,data_collection
7387,1,new_business
6831,0,Research Scientist - IPR & Portfolio Management
6831,1,patent_drafting
6831,1,patent_analysis
6831,1,fto
6831,1,patents
6831,1,ims_data
6831,1,product_portfolio
6831,1,patent_litigation
6831,1,patent_landscaping
4509,0,Visualization and Data Engineer
4509,1,advanced_analytics
4509,1,data_analysis
4509,1,tableau
4509,1,operations
4509,1,data_management
4509,1,business_analyst
4509,1,data_modeling
4509,1,analytical
3989,0,FMA Data Engineer
3989,1,lambda
3989,1,s3
3989,1,perl
3989,1,css
3989,1,jquery
3989,1,etl
3989,1,nosql
3989,1,schema
7746,0,BI Reporting Analyst
7746,1,computer_science
7746,1,mis_reporting
7746,1,digital_analytics
7746,1,adobe_analytics
7746,1,business_reporting
7746,1,data_analytics
7746,1,qlikview
7746,1,operations
6390,0,Data Engineer Spark - Java/Python/Scala/Kafka Streaming
6390,1,msk
6390,1,efs
6390,1,spark
6390,1,scala
6390,1,java
6390,1,emr
6390,1,etl_aws_cloud
6390,1,aurora_mysql
4771,0,Data Analyst
4771,1,power_bi
4771,1,data_manipulation
4771,1,data_visualization
